sample ID	forward sequence count
DB38.361	29
DB38.362	19191
DB38.363	157
DB38.364	94647
DB38.365	86
DB38.366	5365
DB38.367	9108
DB38.368	15693
DB38.369	291
DB38.370	380
DB38.371	340
DB38.372	8496
DB38.373	62821
DB38.374	8751
DB38.375	19112
DB38.376	19300
DB38.377	34793
DB38.378	27817
DB38.379	33586
DB38.380	258
DB38.381	32708
DB38.382	6993
DB38.383	5472
DB38.384	18840
DB38.385	658
DB38.386	17858
DB38.387	13270
DB38.388	62454
DB38.389	10465
DB38.390	15280
DB38.391	123
DB38.393	24829
DB38.394	38706
DB38.395	1390
DB38.396	14421
DB38.397	1025
DB38.398	132
DB38.399	324
DB38.400	92
DB38.401	797
DB38.402	126
DB38.403	255
DB38.404	96
DB38.405	611
DB38.406	31
DB38.407	303
DB38.408	536
DB38.409	435
DB38.410	47185
DB38.411	548
DB38.412	37945
DB38.413	229
DB38.414	3095
DB38.415	74
DB38.416	142
DB38.417	493
DB38.418	169
DB38.419	59
DB38.420	12342
DB38.421	47353
DB38.425	139083
DB38.426	145850
DB38.427	44862
DB38.428	31151
DB38.429	39697
DB38.430	60282
DB38.431	27292
DB38.432	294
DB38.433	27202
DB38.434	6767
