sample-id	total-input-reads	total-retained-reads	reads-truncated	reads-too-short-after-truncation	reads-exceeding-maximum-ambiguous-bases
#q2:types	numeric	numeric	numeric	numeric	numeric
DB38.173	63462	63131	3456	331	0
DB38.174	8499	8454	578	45	0
DB38.175	17342	17226	1161	116	0
DB38.176	35892	35720	1656	172	0
DB38.177	13069	12988	912	81	0
DB38.178	9211	9148	531	63	0
DB38.179	753	750	49	3	0
DB38.180	31495	31347	1458	147	1
DB38.181	23368	23255	1223	113	0
DB38.182	12872	12798	770	74	0
DB38.183	38410	38204	2312	206	0
DB38.184	30099	29952	1603	147	0
DB38.185	31586	31444	1103	142	0
DB38.186	30858	30675	1649	183	0
DB38.187	20841	20748	1142	93	0
DB38.188	14639	14563	944	76	0
DB38.189	14967	14886	1016	81	0
DB38.190	3924	3897	265	27	0
DB38.191	22638	22527	1461	111	0
DB38.192	40872	40627	2601	245	0
DB38.193	22452	22352	1012	100	0
DB38.194	13575	13515	610	60	0
DB38.195	7566	7546	252	20	0
DB38.196	537	535	28	2	0
DB38.197	11813	11747	855	66	0
DB38.198	2871	2857	172	14	0
DB38.199	2665	2648	211	17	0
DB38.200	3754	3732	229	22	0
DB38.201	11064	11012	734	52	0
DB38.202	10268	10203	756	65	0
DB38.203	5102	5080	248	22	0
DB38.204	5603	5587	232	16	0
DB38.205	3110	3092	240	18	0
DB38.206	120	119	8	1	0
DB38.207	5784	5768	288	16	0
DB38.208	10497	10454	473	43	0
DB38.209	5256	5237	388	19	0
DB38.210	254	250	9	4	0
DB38.211	12105	12052	508	53	0
DB38.212	9512	9477	383	35	0
DB38.213	7748	7705	383	43	0
DB38.214	127	127	11	0	0
DB38.215	2133	2115	125	18	0
DB38.216	8714	8654	640	60	0
DB38.217	25605	25469	1383	136	0
DB38.218	22551	22427	1795	124	0
DB38.219	3803	3772	248	31	0
DB38.220	15151	15076	895	75	0
DB38.221	340	339	17	1	0
DB38.222	18852	18750	939	102	0
DB38.223	11264	11215	416	49	0
DB38.224	22970	22882	1050	88	0
DB38.225	1986	1972	87	14	0
DB38.226	15298	15242	592	56	0
DB38.227	10450	10401	786	49	0
DB38.228	2414	2399	143	15	0
